prime,prime_natural,target,target_natural,distractor,prime_left,same_w,natural_left,mask1,mask2,mask3,fix_duration,mask1_duration,mask2_duration,prime_duration,mask3_duration,target_duration,fix_time,mask1_time,mask2_time,prime_time,mask3_time,target_time,categor_time,recog_time,pas_time,target_ans_left,target_ans_nat,target_correct,target_rt,prime_ans_left,prime_correct,prime_rt,pas,pas_rt,trial_start_time,trial_end_time,trial,block_num,cat_block,sub_num
יאכטה,0,אגודל,1,מטאטא,1,0,1,57,58,69,1,0.27,0.03,0.03,0.03,0.5,783176.6768,783177.6868,783177.9568,783178.0269,783178.0568,783178.0968,783178.5968,783189.1669,783200.2171,0,0,0,9.990072922,0,0,10.00011974,4,9.990122814,783176.6768,783210.2172,1,1,,123123
טוסטר,0,טוסטר,0,וילון,1,1,1,69,44,47,1,0.27,0.03,0.03,0.03,0.5,783211.5972,783212.5972,783212.8672,783212.9072,783212.9372,783212.9772,783213.4772,783215.9673,783219.6273,1,1,0,1.79996824,0,0,2.610385571,4,1.709974518,783211.5972,783221.3473,2,1,,123123
prime,prime_natural,target,target_natural,distractor,prime_left,same_w,natural_left,mask1,mask2,mask3,fix_duration,mask1_duration,mask2_duration,prime_duration,mask3_duration,target_duration,fix_time,mask1_time,mask2_time,prime_time,mask3_time,target_time,categor_time,recog_time,pas_time,target_ans_left,target_ans_nat,target_correct,target_rt,prime_ans_left,prime_correct,prime_rt,pas,pas_rt,trial_start_time,trial_end_time,trial,block_num,cat_block,sub_num
קרסול,1,כורסה,0,עשבים,0,0,1,73,58,80,1,0.27,0.03,0.03,0.03,0.5,783381.4193,783382.4293,783382.6993,783382.7693,783382.7992,783382.8393,783383.3393,783395.6194,783406.6696,0,0,1,9.990119963,0,1,9.990126235,4,10.00016536,783381.4193,783416.6797,1,1,,123123
עמקים,1,מקלדת,0,מעיים,0,0,1,53,71,24,1,0.27,0.03,0.03,0.03,0.5,783418.8997,783419.8998,783420.1697,783420.2097,783420.2397,783420.2797,783420.7797,783422.7699,783425.0598,1,1,0,1.639986908,0,1,1.500018246,2,1.439971399,783418.8997,783426.5098,2,1,,123123
עכביש,1,בלנדר,0,אפרסק,0,0,1,61,70,83,1,0.27,0.03,0.03,0.03,0.5,783427.2999,783428.2998,783428.5698,783428.5999,783428.6298,783428.6598,783429.1598,783430.9099,783432.7399,0,0,1,1.47002262,0,1,1.139938442,4,1.400031589,783427.2999,783434.1499,3,1,,123123
מטאטא,0,מטאטא,0,מסילה,0,1,1,53,43,44,1,0.27,0.03,0.03,0.03,0.5,783434.8799,783435.8799,783436.1499,783436.18,783436.21,783436.2399,783436.7399,783438.52,783440.57,1,1,0,1.579963439,1,0,1.340054305,3,1.520004972,783434.8799,783442.1,4,1,,123123
זריחה,1,זריחה,1,קיפוד,0,1,1,51,45,55,1,0.27,0.03,0.03,0.03,0.5,783442.85,783443.85,783444.12,783444.15,783444.18,783444.21,783444.71,783446.21,783448.0401,0,0,0,1.350003621,1,0,1.20996454,2,2.010007475,783442.85,783450.0601,5,1,,123123
סלעים,1,סלעים,1,אלמוג,1,1,1,75,32,56,1,0.27,0.03,0.03,0.03,0.5,783450.74,783451.7401,783452.0101,783452.0401,783452.0701,783452.1001,783452.6001,783455.0202,783456.8001,0,0,0,2.240033721,0,0,1.140020835,1,1.349841686,783450.74,783458.1602,6,1,,123123
פרחים,1,כביסה,0,ציפור,0,0,1,82,42,80,1,0.27,0.03,0.03,0.03,0.5,783458.8402,783459.8402,783460.1102,783460.1402,783460.1702,783460.2002,783460.7002,783462.3802,783464.2802,1,1,0,1.290006095,0,1,1.270004259,4,1.250019529,783458.8402,783465.5403,7,1,,123123
אפרסק,1,אפרסק,1,שמיים,1,1,1,34,81,30,1,0.27,0.03,0.03,0.03,0.5,783466.1403,783467.1403,783467.4103,783467.4403,783467.4703,783467.5003,783468.0003,783469.5703,783471.1404,0,0,0,1.449955211,0,0,1.029993061,3,1.410024809,783466.1403,783472.5603,8,1,,123123
אתרוג,1,רמקול,0,צללים,0,0,1,45,36,65,1,0.27,0.03,0.03,0.03,0.5,783473.1204,783474.1204,783474.3904,783474.4204,783474.4504,783474.4804,783474.9804,783476.5004,783478.2404,1,1,0,1.420031429,0,1,1.190018298,1,1.050022266,783473.1204,783479.3004,9,1,,123123
כורסה,0,עשבים,1,גלידה,1,0,1,65,33,60,1,0.27,0.03,0.03,0.03,0.5,783479.8804,783480.8804,783481.1505,783481.1805,783481.2104,783481.2405,783481.7405,783483.2905,783485.1305,0,0,0,1.450038745,1,1,1.299988197,1,1.270015663,783479.8804,783486.4105,10,1,,123123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,actual duration,,,,,,,actual RT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.009998637,0.270003975,0.069992741,0.029963126,0.040050142,0.499985968,,12.78013917,,,,,,,,,,,,1.280008883,,,,
,,,,,,,,,,,,,,,,,1.000069849,0.269974324,0.040009944,0.029966547,0.040008804,0.500008775,,2.490169855,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.99995638,0.270000839,0.030053216,0.029952292,0.030009881,0.500014192,,2.250043192,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.000028795,0.269978886,0.030046374,0.029993346,0.02999249,0.499985683,,2.280019718,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.999955239,0.270059283,0.03003269,0.029957993,0.029996767,0.500008491,,2.000035352,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.000059586,0.269998557,0.030000188,0.030013303,0.030015868,0.49997713,,2.920023732,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.000006842,0.269997703,0.029973959,0.030033259,0.029997622,0.50000621,,2.180042183,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.000004847,0.270004545,0.030007315,0.029997622,0.029968543,0.500029872,,2.070054892,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.000009123,0.270042177,0.029967687,0.029992776,0.030024991,0.500030158,,2.020006398,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,trial length,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,35.26044667,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,7.610112733,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6.850038118,,,,,,,,,,,,,,,,,,,,,
