sub_num,iBlock,iTrial,list_id,practice,prime,prime_natural,target,target_natural,distractor,prime_left,same,natural_left,mask1,mask2,mask3,fix_duration,mask1_duration,mask2_duration,prime_duration,mask3_duration,target_duration,fix_time,mask1_time,mask2_time,prime_time,mask3_time,target_time,categor_time,recog_time,pas_time,target_x_to,target_y_to,target_z_to,target_timecourse_to,target_x_from,target_y_from,target_z_from,target_timecourse_from,target_ans_left,target_ans_nat,target_correct,target_rt,prime_x_to,prime_y_to,prime_z_to,prime_timecourse_to,prime_x_from,prime_y_from,prime_z_from,prime_timecourse_from,prime_ans_left,prime_correct,prime_rt,pas,pas_rt,trial_start_time,trial_end_time
NaN,1,1,NaN,1,מלתחה,0,מלתחה,0,שרביט,0,1,NaN,54,70,71,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,2,NaN,1,רעמים,1,חולצה,0,חולדה,0,0,NaN,66,63,81,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,3,NaN,1,תולעת,1,תולעת,1,חרקים,0,1,NaN,63,57,56,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,4,NaN,1,סופות,1,שרביט,0,בצלים,0,0,NaN,72,70,87,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,5,NaN,1,מסטיק,0,מסטיק,0,וודקה,1,1,NaN,88,85,50,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,6,NaN,1,בהמות,1,בהמות,1,פילים,0,1,NaN,52,80,64,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,7,NaN,1,חגורה,0,סופות,1,שטרות,1,0,NaN,35,57,59,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,8,NaN,1,אריות,1,אריות,1,תותים,1,1,NaN,45,65,62,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,9,NaN,1,צינור,0,חרקים,1,שמיכה,1,0,NaN,64,49,70,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,10,NaN,1,פילים,1,פילים,1,קליפה,1,1,NaN,30,68,67,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,11,NaN,1,שמיכה,0,שמיכה,0,צינור,0,1,NaN,52,61,73,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,12,NaN,1,שבשבת,0,שבשבת,0,מכונה,0,1,NaN,46,68,67,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,13,NaN,1,משקפת,0,משקפת,0,חגורה,1,1,NaN,75,36,40,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,14,NaN,1,מסטיק,0,חולדה,1,קופסה,1,0,NaN,58,78,61,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,15,NaN,1,שטרות,0,עננים,1,מלתחה,0,0,NaN,62,35,41,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,16,NaN,1,בצלים,1,בצלים,1,קוקוס,1,1,NaN,68,44,40,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,17,NaN,1,תותים,1,תותים,1,בהמות,1,1,NaN,40,86,77,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,18,NaN,1,פרעוש,1,וודקה,0,זחלים,0,0,NaN,52,58,75,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,19,NaN,1,מבחנה,0,מבחנה,0,בגדים,1,1,NaN,46,82,45,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,20,NaN,1,בגדים,0,בגדים,0,שבשבת,1,1,NaN,84,77,82,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,21,NaN,1,מסגרת,0,מסגרת,0,רובוט,0,1,NaN,70,64,43,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,22,NaN,1,בגדים,0,פרעוש,1,מבחנה,0,0,NaN,75,74,38,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
NaN,1,23,NaN,1,גשמים,1,חגורה,0,תולעת,1,0,NaN,74,61,32,1,0.27,0.03,0.03,0.03,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
